"Index Name","Date","Open","High","Low","Close"
"NIFTY BANK","04 Sep 2023","44647.65","44656.05","44310.95","44578.30"
"NIFTY BANK","01 Sep 2023","43996.10","44568.55","43830.75","44436.10"
"NIFTY BANK","31 Aug 2023","44265.85","44399.65","43895.05","43989.15"
"NIFTY BANK","30 Aug 2023","44706.55","44779.65","44149.80","44232.60"
"NIFTY BANK","29 Aug 2023","44655.75","44673.00","44429.80","44495.25"
"NIFTY BANK","28 Aug 2023","44253.65","44610.40","44201.45","44494.65"
"NIFTY BANK","25 Aug 2023","44276.20","44359.10","43983.75","44231.45"
"NIFTY BANK","24 Aug 2023","44704.20","44949.90","44433.75","44496.20"
"NIFTY BANK","23 Aug 2023","44064.50","44521.65","43952.05","44479.05"
"NIFTY BANK","22 Aug 2023","44125.00","44151.30","43938.70","43993.25"
"NIFTY BANK","21 Aug 2023","43952.85","44113.80","43862.00","44002.00"
"NIFTY BANK","18 Aug 2023","43724.75","43957.65","43672.45","43851.05"
"NIFTY BANK","17 Aug 2023","43897.25","44071.85","43745.10","43891.35"
"NIFTY BANK","16 Aug 2023","43726.25","44002.80","43600.35","43946.40"
"NIFTY BANK","14 Aug 2023","44066.60","44212.75","43776.90","44090.95"
"NIFTY BANK","11 Aug 2023","44568.15","44571.25","44120.90","44199.10"
"NIFTY BANK","10 Aug 2023","44797.65","44980.35","44418.40","44541.80"
"NIFTY BANK","09 Aug 2023","44973.45","44975.00","44533.75","44880.70"
"NIFTY BANK","08 Aug 2023","44888.95","45096.85","44817.85","44964.45"
"NIFTY BANK","07 Aug 2023","44993.70","45011.35","44773.85","44837.50"
"NIFTY BANK","04 Aug 2023","44754.75","45118.05","44520.55","44879.50"
"NIFTY BANK","03 Aug 2023","44862.85","45038.45","44279.40","44513.45"
"NIFTY BANK","02 Aug 2023","45234.65","45404.90","44720.90","44995.70"
"NIFTY BANK","01 Aug 2023","45740.00","45782.75","45471.05","45592.50"
"NIFTY BANK","31 Jul 2023","45546.35","45694.90","45359.75","45651.10"
"NIFTY BANK","28 Jul 2023","45560.90","45727.75","45238.80","45468.10"
"NIFTY BANK","27 Jul 2023","46285.85","46310.10","45570.65","45679.30"
"NIFTY BANK","26 Jul 2023","45935.15","46096.60","45804.70","46062.35"
"NIFTY BANK","25 Jul 2023","46154.70","46156.10","45622.85","45845.00"
"NIFTY BANK","24 Jul 2023","46131.90","46191.50","45858.75","45923.05"
"NIFTY BANK","21 Jul 2023","46063.95","46369.50","45925.90","46075.20"
"NIFTY BANK","20 Jul 2023","45689.05","46256.20","45640.95","46186.90"
"NIFTY BANK","19 Jul 2023","45622.50","45707.40","45433.00","45669.30"
"NIFTY BANK","18 Jul 2023","45754.80","45905.85","45281.30","45410.85"
"NIFTY BANK","17 Jul 2023","44951.20","45556.45","44695.05","45449.75"
"NIFTY BANK","14 Jul 2023","44860.65","44923.85","44547.80","44819.30"
"NIFTY BANK","13 Jul 2023","45009.30","45085.15","44612.20","44665.05"
"NIFTY BANK","12 Jul 2023","44872.60","44937.25","44562.40","44639.45"
"NIFTY BANK","11 Jul 2023","44998.00","45139.55","44663.05","44745.05"
"NIFTY BANK","10 Jul 2023","44958.65","45184.30","44721.90","44860.85"
"NIFTY BANK","07 Jul 2023","45118.05","45227.25","44844.80","44925.00"
"NIFTY BANK","06 Jul 2023","45060.55","45417.50","45042.60","45339.90"
"NIFTY BANK","05 Jul 2023","45169.70","45418.90","45073.40","45151.80"
"NIFTY BANK","04 Jul 2023","45310.55","45655.50","45000.25","45301.45"
"NIFTY BANK","03 Jul 2023","44957.95","45353.20","44882.10","45158.10"
"NIFTY BANK","30 Jun 2023","44666.00","44787.10","44447.20","44747.35"
"NIFTY BANK","28 Jun 2023","44419.50","44508.40","44163.20","44327.80"
"NIFTY BANK","27 Jun 2023","43804.55","44194.65","43693.15","44121.50"
"NIFTY BANK","26 Jun 2023","43714.75","43773.10","43541.75","43641.05"
"NIFTY BANK","23 Jun 2023","43641.60","43824.10","43519.55","43622.90"
"NIFTY BANK","22 Jun 2023","43874.80","44042.15","43663.35","43724.85"
"NIFTY BANK","21 Jun 2023","43894.40","43946.70","43698.95","43859.20"
"NIFTY BANK","20 Jun 2023","43597.55","43823.95","43345.95","43766.50"
"NIFTY BANK","19 Jun 2023","44015.30","44040.35","43501.40","43633.75"
"NIFTY BANK","16 Jun 2023","43583.35","44083.25","43536.95","43938.15"
"NIFTY BANK","15 Jun 2023","44054.35","44077.45","43397.50","43443.60"
"NIFTY BANK","14 Jun 2023","44181.65","44212.35","43956.15","43988.00"
"NIFTY BANK","13 Jun 2023","43889.70","44138.15","43889.70","44079.85"
"NIFTY BANK","12 Jun 2023","44035.20","44124.95","43874.05","43944.20"
"NIFTY BANK","09 Jun 2023","44045.75","44220.10","43932.60","43989.00"
"NIFTY BANK","08 Jun 2023","44208.30","44459.25","43917.90","43995.25"
"NIFTY BANK","07 Jun 2023","44318.70","44346.30","44143.50","44275.30"
"NIFTY BANK","06 Jun 2023","44156.70","44236.20","44009.70","44164.55"
"NIFTY BANK","05 Jun 2023","44103.25","44266.15","44074.20","44101.65"
"NIFTY BANK","02 Jun 2023","43997.30","44088.90","43812.55","43937.85"
"NIFTY BANK","01 Jun 2023","44172.05","44179.95","43706.15","43790.20"
"NIFTY BANK","31 May 2023","44318.00","44339.05","43822.70","44128.15"
"NIFTY BANK","30 May 2023","44277.35","44498.60","44207.50","44436.35"
"NIFTY BANK","29 May 2023","44276.80","44483.35","44193.95","44311.90"
"NIFTY BANK","26 May 2023","43765.35","44067.60","43588.80","44018.00"
"NIFTY BANK","25 May 2023","43630.25","43719.85","43390.30","43681.40"
"NIFTY BANK","24 May 2023","43751.95","44010.45","43639.80","43677.85"
"NIFTY BANK","23 May 2023","43978.90","44095.25","43852.20","43954.45"
"NIFTY BANK","22 May 2023","43935.30","44026.75","43684.90","43885.10"
"NIFTY BANK","19 May 2023","43930.00","44020.90","43531.90","43969.40"
"NIFTY BANK","18 May 2023","44006.90","44079.20","43673.70","43752.30"
"NIFTY BANK","17 May 2023","43948.50","43992.75","43446.40","43698.70"
"NIFTY BANK","16 May 2023","44144.15","44144.15","43815.70","43903.70"
"NIFTY BANK","15 May 2023","43821.05","44151.70","43666.60","44072.10"
"NIFTY BANK","12 May 2023","43447.15","43905.95","43347.75","43793.55"
"NIFTY BANK","11 May 2023","43535.10","43774.25","43367.25","43475.30"
"NIFTY BANK","10 May 2023","43275.25","43383.65","42822.15","43331.05"
"NIFTY BANK","09 May 2023","43438.55","43533.25","43125.85","43198.15"
"NIFTY BANK","08 May 2023","42796.85","43418.55","42780.30","43284.00"
"NIFTY BANK","05 May 2023","43110.65","43588.00","42582.20","42661.20"
"NIFTY BANK","04 May 2023","43236.10","43739.80","43213.95","43685.45"
"NIFTY BANK","03 May 2023","43154.85","43354.95","43078.15","43312.70"
"NIFTY BANK","02 May 2023","43395.05","43483.85","43269.40","43352.10"
"NIFTY BANK","28 Apr 2023","43045.50","43302.05","42810.35","43233.90"
"NIFTY BANK","27 Apr 2023","42753.90","43043.40","42736.60","43000.85"
"NIFTY BANK","26 Apr 2023","42559.05","42875.60","42432.25","42829.90"
"NIFTY BANK","25 Apr 2023","42731.60","42865.55","42601.50","42678.50"
"NIFTY BANK","24 Apr 2023","42469.95","42714.15","42269.10","42635.75"
"NIFTY BANK","21 Apr 2023","42252.55","42382.15","41962.35","42118.00"
"NIFTY BANK","20 Apr 2023","42218.50","42378.15","42108.85","42269.50"
"NIFTY BANK","19 Apr 2023","42280.10","42339.90","42022.15","42154.00"
"NIFTY BANK","18 Apr 2023","42406.95","42500.70","42114.35","42265.20"
"NIFTY BANK","17 Apr 2023","42603.55","42603.55","41799.00","42262.55"
