6y63,Date,Open,High,Low,Close
NIFTY 50,1-Nov-23,19064.05,19096.05,18973.7,18989.15
NIFTY 50,31-Oct-23,19232.95,19233.7,19056.45,19079.6
NIFTY 50,30-Oct-23,19053.4,19158.5,18940,19140.9
NIFTY 50,27-Oct-23,18928.75,19076.15,18926.65,19047.25
NIFTY 50,26-Oct-23,19027.25,19041.7,18837.85,18857.25
NIFTY 50,25-Oct-23,19286.45,19347.3,19074.15,19122.15
NIFTY 50,23-Oct-23,19521.6,19556.85,19257.85,19281.75
NIFTY 50,20-Oct-23,19542.15,19593.8,19518.7,19542.65
NIFTY 50,19-Oct-23,19545.2,19681.8,19512.35,19624.7
NIFTY 50,18-Oct-23,19820.45,19840.95,19659.95,19671.1
NIFTY 50,17-Oct-23,19843.2,19849.75,19775.65,19811.5
NIFTY 50,16-Oct-23,19737.25,19781.3,19691.85,19731.75
NIFTY 50,13-Oct-23,19654.55,19805.4,19635.3,19751.05
NIFTY 50,12-Oct-23,19822.7,19843.3,19772.65,19794
NIFTY 50,11-Oct-23,19767,19839.2,19756.95,19811.35
NIFTY 50,10-Oct-23,19565.6,19717.8,19565.45,19689.85
NIFTY 50,9-Oct-23,19539.45,19588.95,19480.5,19512.35
NIFTY 50,6-Oct-23,19621.2,19675.75,19589.4,19653.5
NIFTY 50,5-Oct-23,19521.85,19576.95,19487.3,19545.75
NIFTY 50,4-Oct-23,19446.3,19457.8,19333.6,19436.1
NIFTY 50,3-Oct-23,19622.4,19623.2,19479.65,19528.75
NIFTY 50,29-Sep-23,19581.2,19726.25,19551.05,19638.3
NIFTY 50,28-Sep-23,19761.8,19766.65,19492.1,19523.55
NIFTY 50,27-Sep-23,19637.05,19730.7,19554,19716.45
NIFTY 50,26-Sep-23,19682.8,19699.35,19637.45,19664.7
NIFTY 50,25-Sep-23,19678.2,19734.15,19601.55,19674.55
NIFTY 50,22-Sep-23,19744.85,19798.65,19657.5,19674.25
NIFTY 50,21-Sep-23,19840.55,19848.75,19709.95,19742.35
NIFTY 50,20-Sep-23,19980.75,20050.65,19878.85,19901.4
NIFTY 50,18-Sep-23,20155.95,20195.35,20115.7,20133.3
NIFTY 50,15-Sep-23,20156.45,20222.45,20129.7,20192.35
NIFTY 50,14-Sep-23,20127.95,20167.65,20043.45,20103.1
NIFTY 50,13-Sep-23,19989.5,20096.9,19944.1,20070
NIFTY 50,12-Sep-23,20110.15,20110.35,19914.65,19993.2
NIFTY 50,11-Sep-23,19890,20008.15,19865.35,19996.35
NIFTY 50,8-Sep-23,19774.8,19867.15,19728.05,19819.95
NIFTY 50,7-Sep-23,19598.65,19737,19550.05,19727.05
NIFTY 50,6-Sep-23,19581.2,19636.45,19491.5,19611.05
NIFTY 50,5-Sep-23,19564.65,19587.05,19525.75,19574.9
NIFTY 50,4-Sep-23,19525.05,19545.15,19432.85,19528.8
NIFTY 50,1-Sep-23,19258.15,19458.55,19255.7,19435.3
NIFTY 50,31-Aug-23,19375.55,19388.2,19223.65,19253.8
NIFTY 50,30-Aug-23,19433.45,19452.8,19334.75,19347.45
NIFTY 50,29-Aug-23,19374.85,19377.9,19309.1,19342.65
NIFTY 50,28-Aug-23,19298.35,19366.85,19249.7,19306.05
NIFTY 50,25-Aug-23,19297.4,19339.55,19229.7,19265.8
NIFTY 50,24-Aug-23,19535.15,19584.45,19369,19386.7
NIFTY 50,23-Aug-23,19439.2,19472.05,19366.6,19444
NIFTY 50,22-Aug-23,19417.1,19443.5,19381.3,19396.45
NIFTY 50,21-Aug-23,19320.65,19425.95,19296.3,19393.6
NIFTY 50,18-Aug-23,19301.75,19373.8,19253.6,19310.15
NIFTY 50,17-Aug-23,19450.55,19461.55,19326.25,19365.25
NIFTY 50,16-Aug-23,19369,19482.75,19317.2,19465
NIFTY 50,14-Aug-23,19383.95,19465.85,19257.9,19434.55
NIFTY 50,11-Aug-23,19554.25,19557.75,19412.75,19428.3
NIFTY 50,10-Aug-23,19605.55,19623.6,19495.4,19543.1
NIFTY 50,9-Aug-23,19578.8,19645.5,19467.5,19632.55
NIFTY 50,8-Aug-23,19627.2,19634.4,19533.1,19570.85
NIFTY 50,7-Aug-23,19576.85,19620.45,19524.8,19597.3
NIFTY 50,4-Aug-23,19462.8,19538.85,19436.45,19517
NIFTY 50,3-Aug-23,19463.75,19537.65,19296.45,19381.65
NIFTY 50,2-Aug-23,19655.4,19678.25,19423.55,19526.55
NIFTY 50,1-Aug-23,19784,19795.6,19704.6,19733.55
NIFTY 50,31-Jul-23,19666.35,19772.75,19597.6,19753.8
NIFTY 50,28-Jul-23,19659.75,19695.9,19563.1,19646.05
NIFTY 50,27-Jul-23,19850.9,19867.55,19603.55,19659.9
NIFTY 50,26-Jul-23,19733.35,19825.6,19716.7,19778.3
NIFTY 50,25-Jul-23,19729.35,19729.35,19615.95,19680.6
NIFTY 50,24-Jul-23,19748.45,19782.75,19658.3,19672.35
NIFTY 50,21-Jul-23,19800.45,19887.4,19700,19745
NIFTY 50,20-Jul-23,19831.7,19991.85,19758.4,19979.15
NIFTY 50,19-Jul-23,19802.95,19851.7,19727.45,19833.15
NIFTY 50,18-Jul-23,19787.5,19819.45,19690.2,19749.25
NIFTY 50,17-Jul-23,19612.15,19731.85,19562.95,19711.45
NIFTY 50,14-Jul-23,19493.45,19595.35,19433.5,19564.5
NIFTY 50,13-Jul-23,19495.2,19567,19385.8,19413.75
NIFTY 50,12-Jul-23,19497.45,19507.7,19361.75,19384.3
NIFTY 50,11-Jul-23,19427.1,19515.1,19406.45,19439.4
NIFTY 50,10-Jul-23,19400.35,19435.85,19327.1,19355.9
NIFTY 50,7-Jul-23,19422.8,19523.6,19303.6,19331.8
NIFTY 50,6-Jul-23,19385.7,19512.2,19373,19497.3
NIFTY 50,5-Jul-23,19405.95,19421.6,19339.6,19398.5
NIFTY 50,4-Jul-23,19406.6,19434.15,19300,19389
NIFTY 50,3-Jul-23,19246.5,19345.1,19234.4,19322.55
NIFTY 50,30-Jun-23,19076.85,19201.7,19024.6,19189.05
NIFTY 50,28-Jun-23,18908.15,19011.25,18861.35,18972.1
NIFTY 50,27-Jun-23,18748.55,18829.25,18714.25,18817.4
NIFTY 50,26-Jun-23,18682.35,18722.05,18646.7,18691.2
NIFTY 50,23-Jun-23,18741.85,18756.4,18647.1,18665.5
NIFTY 50,22-Jun-23,18853.6,18886.6,18759.5,18771.25
NIFTY 50,21-Jun-23,18849.4,18875.9,18794.85,18856.85
NIFTY 50,20-Jun-23,18752.35,18839.7,18660.65,18816.7
NIFTY 50,19-Jun-23,18873.3,18881.45,18719.15,18755.45
NIFTY 50,16-Jun-23,18723.3,18864.7,18710.5,18826
NIFTY 50,15-Jun-23,18774.45,18794.1,18669.05,18688.1
NIFTY 50,14-Jun-23,18744.6,18769.7,18690,18755.9
NIFTY 50,13-Jun-23,18631.8,18728.9,18631.8,18716.15
NIFTY 50,12-Jun-23,18595.05,18633.6,18559.75,18601.5
NIFTY 50,9-Jun-23,18655.9,18676.65,18555.4,18563.4
NIFTY 50,8-Jun-23,18725.35,18777.9,18615.6,18634.55
NIFTY 50,7-Jun-23,18665.6,18738.95,18636,18726.4
NIFTY 50,6-Jun-23,18600.8,18622.75,18531.6,18599
NIFTY 50,5-Jun-23,18612,18640.15,18582.8,18593.85
NIFTY 50,2-Jun-23,18550.85,18573.7,18478.4,18534.1
NIFTY 50,1-Jun-23,18579.4,18580.3,18464.55,18487.75
NIFTY 50,31-May-23,18594.2,18603.9,18483.85,18534.4
NIFTY 50,30-May-23,18606.65,18662.45,18575.5,18633.85
NIFTY 50,29-May-23,18619.15,18641.2,18581.25,18598.65
NIFTY 50,26-May-23,18368.35,18508.55,18333.15,18499.35
NIFTY 50,25-May-23,18268.9,18338.1,18202.4,18321.15
NIFTY 50,24-May-23,18294.8,18392.6,18262.95,18285.4
NIFTY 50,23-May-23,18362.9,18419.75,18324.2,18348
NIFTY 50,22-May-23,18201.1,18335.25,18178.85,18314.4
NIFTY 50,19-May-23,18186.15,18218.1,18060.4,18203.4
NIFTY 50,18-May-23,18287.5,18297.2,18104.85,18129.95
NIFTY 50,17-May-23,18300.45,18309,18115.35,18181.75
NIFTY 50,16-May-23,18432.35,18432.35,18264.35,18286.5
NIFTY 50,15-May-23,18339.3,18458.9,18287.9,18398.85
NIFTY 50,12-May-23,18273.75,18342.75,18194.55,18314.8
NIFTY 50,11-May-23,18357.8,18389.7,18270.4,18297
NIFTY 50,10-May-23,18313.6,18326.75,18211.95,18315.1
NIFTY 50,9-May-23,18303.4,18344.2,18229.65,18265.95
NIFTY 50,8-May-23,18120.6,18286.95,18100.3,18264.4
NIFTY 50,5-May-23,18117.3,18216.95,18055.45,18069
NIFTY 50,4-May-23,18081,18267.45,18066.7,18255.8
NIFTY 50,3-May-23,18113.8,18116.35,18042.4,18089.85
NIFTY 50,2-May-23,18124.8,18180.25,18101.75,18147.65
NIFTY 50,28-Apr-23,17950.4,18089.15,17885.3,18065
NIFTY 50,27-Apr-23,17813.1,17931.6,17797.9,17915.05
NIFTY 50,26-Apr-23,17767.3,17827.75,17711.2,17813.6
NIFTY 50,25-Apr-23,17761.55,17807.45,17716.85,17769.25
NIFTY 50,24-Apr-23,17707.55,17754.5,17612.5,17743.4
NIFTY 50,21-Apr-23,17639.75,17663.2,17553.95,17624.05
NIFTY 50,20-Apr-23,17638.6,17684.45,17584.35,17624.45
NIFTY 50,19-Apr-23,17653.35,17666.15,17579.85,17618.75
NIFTY 50,18-Apr-23,17766.6,17766.6,17610.2,17660.15
NIFTY 50,17-Apr-23,17863,17863,17574.05,17706.85
